,Day,2.28,2.00,3.00,4.00,10.00
0,0,6841.0,6841.0,6841.0,6841.0,6841.0
1,1,8390.716641881543,8676.166027336478,7937.872773209647,7599.504953118513,7037.582199830818
2,2,10290.923746454575,11002.864150078414,9210.28833292006,8441.916047628118,7239.759101122834
3,3,12620.601034102001,13952.27865767803,10686.226935190944,9377.469582225482,7447.686755216096
4,4,15476.380051326454,17690.320899993778,12398.089388506647,10416.407943573044,7661.525380308509
5,5,18976.415964221516,22426.649241624255,14383.381833311885,11570.086705468633,7881.439461748171
6,6,23265.071525520343,28425.926457288486,16685.501866423885,12851.092542411112,8107.597854075124
7,7,28518.564669681426,36021.80480034232,19354.639345848263,14273.372909626518,8340.173884799424
