,MAE,window,distancing_reduction,recovery_days
223,130.56411137846322,10,0.12,30
224,1992.9733076818,10,0.23,1
225,877.312869357401,10,0.23,3
226,573.8276385294962,10,0.23,5
227,325.5567516307246,10,0.23,10
228,251.42906072516521,10,0.23,14
229,195.36277634565906,10,0.23,20
230,154.68529747989513,10,0.23,30
231,2467.382725055778,10,0.34,1
232,1240.3944930309274,10,0.34,3
233,854.028528793412,10,0.34,5
234,522.8156679037037,10,0.34,10
235,421.10373008795347,10,0.34,14
236,342.65902110603736,10,0.34,20
237,280.3910451048625,10,0.34,30
238,2787.9994315626395,10,0.45,1
239,1553.6048122495163,10,0.45,3
240,1107.8707994314123,10,0.45,5
241,708.0953939176309,10,0.45,10
242,582.2896569208343,10,0.45,14
243,484.3287709053279,10,0.45,20
244,405.93743421827736,10,0.45,30
245,3005.388423875761,10,0.56,1
246,1823.1420599345954,10,0.56,3
247,1337.556297887581,10,0.56,5
248,882.0261753840497,10,0.56,10
249,735.1721712730957,10,0.56,14
250,619.7342779535495,10,0.56,20
251,526.6917874837518,10,0.56,30
252,3155.44830313529,10,0.67,1
253,2054.627377713734,10,0.67,3
254,1545.1528600783263,10,0.67,5
255,1045.2240966802924,10,0.67,10
256,880.1295640599856,10,0.67,14
257,749.1204981785623,10,0.67,20
258,642.768819880502,10,0.67,30
259,3262.284224069089,10,0.78,1
260,2253.1228416064955,10,0.78,3
261,1732.59642066772,10,0.78,5
262,1198.2808832828518,10,0.78,10
263,1017.5276254717147,10,0.78,14
264,872.7254486999258,10,0.78,20
265,754.3298318439403,10,0.78,30
266,3341.2667834371537,10,0.89,1
267,2423.1556798816337,10,0.89,3
268,1901.6938837418909,10,0.89,5
269,1341.7641594561246,10,0.89,10
270,1147.7197479762415,10,0.89,14
271,990.7802547768937,10,0.89,20
272,861.5320520485085,10,0.89,30
273,3401.8231292517007,10,1.0,1
274,2568.74716086709,10,1.0,3
275,2054.1266355374146,10,1.0,5
276,1476.2177629659866,10,1.0,10
277,1271.0470508905396,10,1.0,14
278,1103.509205849915,10,1.0,20
279,964.5286653538627,10,1.0,30
280,197.9753678071301,14,0.01,1
281,287.1660994883115,14,0.01,3
282,335.4948210948286,14,0.01,5
283,367.85194719196926,14,0.01,10
284,376.42077364550397,14,0.01,14
285,382.62871989326595,14,0.01,20
286,387.32622549430016,14,0.01,30
287,1194.5307304778614,14,0.12,1
288,311.0488825285724,14,0.12,3
289,132.60905733673047,14,0.12,5
290,165.63802992677125,14,0.12,10
291,194.54868858726994,14,0.12,14
292,219.12488773424678,14,0.12,20
293,239.72413680315614,14,0.12,30
294,1931.1269555162721,14,0.23,1
295,766.2530846039479,14,0.23,3
296,449.5638717663192,14,0.23,5
297,191.3881870660865,14,0.23,10
298,129.52343079057312,14,0.23,14
299,121.96534360595429,14,0.23,20
300,131.90681899648732,14,0.23,30
301,2431.5594195282274,14,0.34,1
302,1158.40990184872,14,0.34,3
303,757.7624335618074,14,0.34,5
304,414.4241657518197,14,0.34,10
305,309.1218888910879,14,0.34,14
306,228.1093887882969,14,0.34,20
307,164.4603772082261,14,0.34,30
308,2767.9067676600243,14,0.45,1
309,1494.927620289924,14,0.45,3
310,1035.464546965189,14,0.45,5
311,623.5316730986509,14,0.45,10
312,493.9297906805004,14,0.45,14
313,393.02252749269627,14,0.45,20
314,312.3244126297642,14,0.45,30
315,2994.456837435517,14,0.56,1
316,1782.922256998027,14,0.56,3
317,1285.3405839928528,14,0.56,5
318,818.7262577863684,14,0.56,10
319,668.3334237840681,14,0.56,14
320,550.1251898667697,14,0.56,20
321,454.8570004107147,14,0.56,30
322,3149.7294847120947,14,0.67,1
323,2028.832078576593,14,0.67,3
324,1509.8916553166744,14,0.67,5
325,1000.8260655933788,14,0.67,10
326,832.748172120279,14,0.67,14
327,699.3833623286243,14,0.67,20
328,591.1267588017206,14,0.67,30
329,3259.5269944188212,14,0.78,1
330,2238.4377198523025,14,0.78,3
331,1711.4520696670843,14,0.78,5
332,1170.6143901236587,14,0.78,10
333,987.6822631322408,14,0.78,14
334,841.1444647177208,14,0.78,20
335,721.3361447591494,14,0.78,30
336,3340.2303375134893,14,0.89,1
337,2416.8905396407717,14,0.89,3
338,1892.1929230171777,14,0.89,5
339,1328.8400325182852,14,0.89,10
340,1133.625018959529,14,0.89,14
341,975.7447117275375,14,0.89,20
342,845.725627616794,14,0.89,30
343,3401.8231292517007,14,1.0,1
344,2568.74716086709,14,1.0,3
345,2054.1266355374146,14,1.0,5
346,1476.2177629659866,14,1.0,10
347,1271.0470508905396,14,1.0,14
348,1103.509205849915,14,1.0,20
349,964.5286653538627,14,1.0,30
350,202.11878487815616,20,0.01,1
351,543.8386969802126,20,0.01,3
352,601.4597237743549,20,0.01,5
353,639.7838104061339,20,0.01,10
354,649.9142515909942,20,0.01,14
355,657.2671206312277,20,0.01,20
356,662.8393393436083,20,0.01,30
357,1052.3181216924352,20,0.12,1
358,148.90061744254174,20,0.12,3
359,222.1271882226942,20,0.12,5
360,355.2166389540135,20,0.12,10
361,398.5815980193394,20,0.12,14
362,432.138317629803,20,0.12,20
363,458.8100433180854,20,0.12,30
364,1845.9181697707595,20,0.23,1
365,612.759304451023,20,0.23,3
366,277.7798671483433,20,0.23,5
367,151.96562921761299,20,0.23,10
368,193.87080211265226,20,0.23,14
369,237.90339959325405,20,0.23,20
370,276.94680111354006,20,0.23,30
371,2382.4198750677933,20,0.34,1
372,1045.7652342150307,20,0.34,3
373,625.4934474093469,20,0.34,5
374,265.50105313075926,20,0.34,10
375,158.00503662985906,20,0.34,14
376,131.60067027845255,20,0.34,20
377,143.91938502581823,20,0.34,30
378,2740.5210479644707,20,0.45,1
379,1414.8148442306697,20,0.45,3
380,936.6266926992488,20,0.45,5
381,508.12287598497693,20,0.45,10
382,373.3485404428473,20,0.45,14
383,268.4272244695161,20,0.45,20
384,184.65510197030548,20,0.45,30
385,2979.673056585906,20,0.56,1
386,1728.377205612521,20,0.56,3
387,1214.545954433122,20,0.56,5
388,732.9286028690259,20,0.56,10
389,577.7477239557554,20,0.56,14
390,455.79180008089946,20,0.56,20
391,357.5130621662045,20,0.56,30
392,3142.0584594227507,20,0.67,1
393,1994.095101427572,20,0.67,3
394,1462.418631397613,20,0.67,5
395,941.0693771042935,20,0.67,10
396,768.9822541977479,20,0.67,14
397,632.4521460384319,20,0.67,20
398,521.6362907901964,20,0.67,30
399,3255.856134804407,20,0.78,1
400,2218.8064534650644,20,0.78,3
401,1683.189953080324,20,0.78,5
402,1133.6431039017614,20,0.78,10
403,947.8024850849949,20,0.78,14
404,798.9481792388261,20,0.78,20
405,677.2545354257591,20,0.78,30
406,3338.8589222357373,20,0.89,1
407,2408.5778553558744,20,0.89,3
408,1879.5873871933654,20,0.89,5
409,1311.6949010052324,20,0.89,10
410,1114.9278302406478,20,0.89,14
411,955.8002347341891,20,0.89,20
412,824.7592138039305,20,0.89,30
413,3401.8231292517007,20,1.0,1
414,2568.74716086709,20,1.0,3
415,2054.1266355374146,20,1.0,5
416,1476.2177629659866,20,1.0,10
417,1271.0470508905396,20,1.0,14
418,1103.509205849915,20,1.0,20
419,964.5286653538627,20,1.0,30
